Acuity Level 4 — All Chief Complaint Word Counts
Total complaints: 23020
=============================================
Rank  Word                     Count     % of complaints
-------------------------------------------------------
1     mild                     5162      22.4%
2     worsening                3345      14.5%
3     known                    2248      9.8%
4     fever                    2232      9.7%
5     days                     1875      8.1%
6     nausea                   1864      8.1%
7     vomiting                 1825      7.9%
8     pain                     1667      7.2%
9     minor                    1606      7.0%
10    associated               1572      6.8%
11    diaphoresis              1556      6.8%
12    onset                    1554      6.8%
13    today                    1554      6.8%
14    patient                  1538      6.7%
15    yesterday                1535      6.7%
16    hours                    1520      6.6%
17    prior                    1520      6.6%
18    history                  1520      6.6%
19    movement                 1510      6.6%
20    constant                 1501      6.5%
21    rigors                   1494      6.5%
22    intermittent             1488      6.5%
23    stable                   1044      4.5%
24    resolved                 952       4.1%
25    blood                    927       4.0%
26    uncomplicated            705       3.1%
27    uti                      705       3.1%
28    infected                 689       3.0%
29    low                      676       2.9%
30    chronic                  673       2.9%
31    flare                    673       2.9%
32    insect                   671       2.9%
33    local                    671       2.9%
34    reaction                 671       2.9%
35    ear                      667       2.9%
36    controlled               665       2.9%
37    check                    663       2.9%
38    laceration               659       2.9%
39    wound                    655       2.8%
40    nasal                    649       2.8%
41    congestion               649       2.8%
42    moderate                 641       2.8%
43    fall                     640       2.8%
44    chest                    624       2.7%
45    now                      621       2.7%
46    contact                  608       2.6%
47    palpitations             374       1.6%
48    symptoms                 363       1.6%
49    genital                  356       1.5%
50    discharge                356       1.5%
51    af                       355       1.5%
52    follow                   355       1.5%
53    migraine                 355       1.5%
54    recurrence               355       1.5%
55    gastroenteritis          354       1.5%
56    lateral                  352       1.5%
57    ankle                    352       1.5%
58    sprain                   352       1.5%
59    scrotal                  350       1.5%
60    insomnia                 347       1.5%
61    severe                   347       1.5%
62    back                     346       1.5%
63    muscle                   345       1.5%
64    strain                   345       1.5%
65    small                    345       1.5%
66    conjunctivitis           344       1.5%
67    ingrown                  344       1.5%
68    toenail                  344       1.5%
69    bite                     343       1.5%
70    positional               342       1.5%
71    dizziness                342       1.5%
72    anxiety                  342       1.5%
73    alcohol                  339       1.5%
74    withdrawal               339       1.5%
75    headache                 339       1.5%
76    head                     338       1.5%
77    bump                     338       1.5%
78    loc                      338       1.5%
79    wheeze                   338       1.5%
80    pressure                 336       1.5%
81    hand                     336       1.5%
82    paraesthesia             336       1.5%
83    blocked                  336       1.5%
84    weight                   334       1.5%
85    change                   334       1.5%
86    concern                  334       1.5%
87    upper                    333       1.4%
88    respiratory              333       1.4%
89    tract                    333       1.4%
90    infection                333       1.4%
91    superficial              332       1.4%
92    non                      331       1.4%
93    bloody                   331       1.4%
94    diarrhoea                331       1.4%
95    shoulder                 331       1.4%
96    eyelid                   331       1.4%
97    swelling                 331       1.4%
98    hypoglycaemia            331       1.4%
99    dehydration              331       1.4%
100   vaginal                  330       1.4%
101   bleeding                 330       1.4%
102   light                    330       1.4%
103   grade                    330       1.4%
104   one                      329       1.4%
105   week                     329       1.4%
106   cough                    329       1.4%
107   sting                    328       1.4%
108   facial                   327       1.4%
109   epistaxis                327       1.4%
110   routine                  327       1.4%
111   elderly                  327       1.4%
112   constipation             327       1.4%
113   five                     327       1.4%
114   panic                    326       1.4%
115   attack                   326       1.4%
116   tonsillitis              325       1.4%
117   diabetes                 324       1.4%
118   management               324       1.4%
119   question                 324       1.4%
120   bruising                 324       1.4%
121   ground                   324       1.4%
122   level                    324       1.4%
123   thyroid                  323       1.4%
124   medication               323       1.4%
125   review                   323       1.4%
126   skin                     322       1.4%
127   rash                     322       1.4%
128   eye                      317       1.4%
129   irritation               317       1.4%
130   runny                    317       1.4%
131   nose                     317       1.4%
132   lens                     316       1.4%
133   problem                  316       1.4%
134   bruised                  316       1.4%
135   knee                     316       1.4%
136   abdominal                315       1.4%
137   cramping                 315       1.4%
138   general                  315       1.4%
139   unwell                   315       1.4%
140   feeling                  315       1.4%
141   fatigue                  315       1.4%
142   dyspepsia                315       1.4%
143   discomfort               315       1.4%
144   depressive               312       1.4%
145   episode                  312       1.4%
146   assessment               312       1.4%
147   dyspnoea                 310       1.3%
148   redness                  310       1.3%
149   wall                     309       1.3%
150   social                   309       1.3%
151   admission                309       1.3%
152   query                    309       1.3%
153   dysuria                  303       1.3%
154   sore                     302       1.3%
155   throat                   302       1.3%
156   photophobia              299       1.3%
157   glucose                  299       1.3%
158   monitoring               299       1.3%
159   confusion                295       1.3%
160   dermatitis               292       1.3%
161   without                  292       1.3%
