Acuity Level 2 — All Chief Complaint Word Counts
Total complaints: 13439
=============================================
Rank  Word                     Count     % of complaints
-------------------------------------------------------
1     acute                    2739      20.4%
2     severe                   2321      17.3%
3     worsening                1770      13.2%
4     significant              1362      10.1%
5     vomiting                 1142      8.5%
6     fever                    1110      8.3%
7     diaphoresis              1078      8.0%
8     suspected                991       7.4%
9     yesterday                942       7.0%
10    associated               911       6.8%
11    nausea                   911       6.8%
12    prior                    903       6.7%
13    history                  903       6.7%
14    intermittent             897       6.7%
15    rigors                   893       6.6%
16    hours                    888       6.6%
17    movement                 882       6.6%
18    constant                 880       6.5%
19    onset                    878       6.5%
20    today                    878       6.5%
21    known                    877       6.5%
22    patient                  877       6.5%
23    days                     876       6.5%
24    moderate                 572       4.3%
25    injury                   570       4.2%
26    fracture                 529       3.9%
27    complications            425       3.2%
28    altered                  416       3.1%
29    mental                   416       3.1%
30    status                   416       3.1%
31    cellulitis               407       3.0%
32    meningitis               407       3.0%
33    abdomen                  401       3.0%
34    high                     396       2.9%
35    overdose                 395       2.9%
36    torsion                  392       2.9%
37    failure                  391       2.9%
38    rapidly                  388       2.9%
39    spreading                388       2.9%
40    self                     388       2.9%
41    pain                     367       2.7%
42    sepsis                   363       2.7%
43    wound                    352       2.6%
44    open                     340       2.5%
45    spinal                   221       1.6%
46    cord                     221       1.6%
47    deficit                  221       1.6%
48    mastoiditis              221       1.6%
49    obstruction              214       1.6%
50    bilious                  214       1.6%
51    orbital                  214       1.6%
52    peritonsillar            214       1.6%
53    abscess                  214       1.6%
54    trismus                  214       1.6%
55    dyspnoea                 210       1.6%
56    rest                     210       1.6%
57    clinically               210       1.6%
58    dka                      208       1.5%
59    haemoptysis              207       1.5%
60    symptomatic              206       1.5%
61    hypoglycaemia            206       1.5%
62    fall                     205       1.5%
63    height                   205       1.5%
64    mechanism                205       1.5%
65    neglect                  204       1.5%
66    medical                  204       1.5%
67    blunt                    204       1.5%
68    thoracic                 204       1.5%
69    trauma                   204       1.5%
70    asthma                   203       1.5%
71    unknown                  202       1.5%
72    substance                202       1.5%
73    speed                    201       1.5%
74    mva                      201       1.5%
75    multiple                 201       1.5%
76    injuries                 201       1.5%
77    ischaemic                201       1.5%
78    colitis                  201       1.5%
79    upper                    200       1.5%
80    gi                       200       1.5%
81    bleed                    200       1.5%
82    haematemesis             200       1.5%
83    hyperglycaemic           200       1.5%
84    crisis                   200       1.5%
85    psychosis                200       1.5%
86    respiratory              200       1.5%
87    hypoxia                  200       1.5%
88    aortic                   199       1.5%
89    dissection               199       1.5%
90    pancreatitis             198       1.5%
91    organ                    198       1.5%
92    dysfunction              198       1.5%
93    bacterial                197       1.5%
94    testicular               196       1.5%
95    shoulder                 196       1.5%
96    dislocation              196       1.5%
97    vascular                 196       1.5%
98    compromise               196       1.5%
99    ovarian                  196       1.5%
100   necrotising              195       1.5%
101   infection                195       1.5%
102   stroke                   195       1.5%
103   focal                    195       1.5%
104   deficits                 195       1.5%
105   haemodynamic             195       1.5%
106   instability              195       1.5%
107   systemic                 193       1.4%
108   features                 193       1.4%
109   serious                  193       1.4%
110   deliberate               193       1.4%
111   nstemi                   193       1.4%
112   epistaxis                193       1.4%
113   requiring                193       1.4%
114   intervention             193       1.4%
115   dehydration              193       1.4%
116   allergic                 193       1.4%
117   reaction                 193       1.4%
118   urinary                  192       1.4%
119   retention                192       1.4%
120   decompensated            191       1.4%
121   heart                    191       1.4%
122   near                     190       1.4%
123   drowning                 190       1.4%
124   stab                     189       1.4%
125   stable                   189       1.4%
126   temporal                 189       1.4%
127   bone                     189       1.4%
128   hypothyroid              188       1.4%
129   coma                     188       1.4%
130   head                     188       1.4%
131   loc                      188       1.4%
132   adrenal                  187       1.4%
133   insufficiency            187       1.4%
134   angle                    186       1.4%
135   closure                  186       1.4%
136   glaucoma                 186       1.4%
137   urosepsis                185       1.4%
138   epiglottitis             184       1.4%
139   chest                    184       1.4%
140   arm                      184       1.4%
141   radiation                184       1.4%
142   harm                     184       1.4%
143   back                     183       1.4%
144   new                      183       1.4%
145   incontinence             183       1.4%
146   hypothermia              182       1.4%
147   large                    182       1.4%
148   pulmonary                182       1.4%
149   embolism                 182       1.4%
150   malaria                  181       1.3%
151   hypertensive             181       1.3%
152   emergency                181       1.3%
153   thunderclap              179       1.3%
154   headache                 179       1.3%
155   mania                    176       1.3%
156   risk                     176       1.3%
157   retinal                  176       1.3%
158   detachment               176       1.3%
159   contamination            175       1.3%
160   renal                    175       1.3%
161   colic                    175       1.3%
162   single                   175       1.3%
163   kidney                   175       1.3%
164   eczema                   174       1.3%
165   herpeticum               174       1.3%
166   sudden                   172       1.3%
167   loss                     172       1.3%
168   vision                   172       1.3%
169   suicidal                 172       1.3%
170   ideation                 172       1.3%
171   plan                     172       1.3%
172   intent                   172       1.3%
173   femur                    165       1.2%
174   infected                 163       1.2%
175   signs                    163       1.2%
176   traumatic                161       1.2%
177   eye                      161       1.2%
178   bullous                  160       1.2%
179   pemphigoid               160       1.2%
180   ongoing                  147       1.1%
181   seizure                  147       1.1%
