Acuity Level 3 — All Chief Complaint Word Counts
Total complaints: 28921
=============================================
Rank  Word                     Count     % of complaints
-------------------------------------------------------
1     worsening                4331      15.0%
2     moderate                 4247      14.7%
3     fever                    3521      12.2%
4     onset                    2778      9.6%
5     vomiting                 2748      9.5%
6     patient                  2324      8.0%
7     pain                     2108      7.3%
8     constant                 1968      6.8%
9     movement                 1962      6.8%
10    known                    1959      6.8%
11    days                     1947      6.7%
12    hours                    1944      6.7%
13    intermittent             1937      6.7%
14    today                    1932      6.7%
15    rigors                   1915      6.6%
16    prior                    1911      6.6%
17    history                  1911      6.6%
18    yesterday                1908      6.6%
19    associated               1906      6.6%
20    nausea                   1906      6.6%
21    diaphoresis              1894      6.5%
22    new                      1671      5.8%
23    acute                    1661      5.7%
24    systemic                 1651      5.7%
25    features                 1620      5.6%
26    symptoms                 1280      4.4%
27    suspected                1258      4.3%
28    chest                    1252      4.3%
29    wound                    1228      4.2%
30    fracture                 1224      4.2%
31    severe                   1222      4.2%
32    abdominal                865       3.0%
33    weight                   860       3.0%
34    dyspnoea                 859       3.0%
35    stable                   855       3.0%
36    infection                849       2.9%
37    localised                846       2.9%
38    foreign                  837       2.9%
39    body                     837       2.9%
40    resolved                 834       2.9%
41    trauma                   826       2.9%
42    injury                   826       2.9%
43    community                823       2.8%
44    pneumonia                823       2.8%
45    facial                   818       2.8%
46    query                    805       2.8%
47    bite                     796       2.8%
48    vitals                   796       2.8%
49    pyelonephritis           786       2.7%
50    elderly                  786       2.7%
51    exertion                 449       1.6%
52    electrolyte              448       1.5%
53    imbalance                448       1.5%
54    symptomatic              448       1.5%
55    asthma                   444       1.5%
56    exacerbation             444       1.5%
57    stress                   436       1.5%
58    reaction                 436       1.5%
59    hyperglycaemia           435       1.5%
60    low                      435       1.5%
61    back                     435       1.5%
62    jaundice                 433       1.5%
63    sti                      433       1.5%
64    appendicitis             431       1.5%
65    clinically               431       1.5%
66    anxiety                  431       1.5%
67    functional               431       1.5%
68    impairment               431       1.5%
69    unexplained              430       1.5%
70    loss                     430       1.5%
71    knee                     430       1.5%
72    unable                   430       1.5%
73    bear                     430       1.5%
74    pancreatitis             430       1.5%
75    conjunctival             429       1.5%
76    haemorrhage              429       1.5%
77    migraine                 429       1.5%
78    photophobia              429       1.5%
79    sensation                426       1.5%
80    blunt                    425       1.5%
81    peripheral               425       1.5%
82    oedema                   425       1.5%
83    exertional               425       1.5%
84    epistaxis                422       1.5%
85    dehydration              422       1.5%
86    coffee                   422       1.5%
87    ground                   422       1.5%
88    general                  421       1.5%
89    deterioration            421       1.5%
90    allergic                 420       1.5%
91    rash                     420       1.5%
92    sinusitis                420       1.5%
93    transient                419       1.4%
94    limb                     419       1.4%
95    weakness                 419       1.4%
96    erythema                 417       1.4%
97    migrans                  417       1.4%
98    tick                     417       1.4%
99    droop                    417       1.4%
100   hypoglycaemia            417       1.4%
101   closed                   417       1.4%
102   ankle                    417       1.4%
103   pleuritic                417       1.4%
104   thyroid                  415       1.4%
105   related                  415       1.4%
106   dengue                   415       1.4%
107   atrial                   413       1.4%
108   fibrillation             413       1.4%
109   scalp                    412       1.4%
110   laceration               412       1.4%
111   actively                 412       1.4%
112   bleeding                 412       1.4%
113   rib                      412       1.4%
114   red                      411       1.4%
115   painful                  411       1.4%
116   eye                      411       1.4%
117   throat                   411       1.4%
118   tightness                410       1.4%
119   productive               408       1.4%
120   cough                    408       1.4%
121   night                    408       1.4%
122   sweats                   408       1.4%
123   renal                    408       1.4%
124   colic                    408       1.4%
125   unknown                  407       1.4%
126   source                   407       1.4%
127   c                        407       1.4%
128   spreading                407       1.4%
129   hot                      406       1.4%
130   swollen                  406       1.4%
131   joint                    406       1.4%
132   septic                   406       1.4%
133   arthritis                406       1.4%
134   vertigo                  405       1.4%
135   cellulitis               404       1.4%
136   suicidal                 402       1.4%
137   ideation                 402       1.4%
138   without                  402       1.4%
139   plan                     402       1.4%
140   substance                400       1.4%
141   intoxication             400       1.4%
142   corneal                  400       1.4%
143   abrasion                 400       1.4%
144   cushing                  399       1.4%
145   dysuria                  399       1.4%
146   otitis                   398       1.4%
147   media                    398       1.4%
148   complications            398       1.4%
149   acquired                 398       1.4%
150   palpitations             397       1.4%
151   near                     397       1.4%
152   syncope                  397       1.4%
153   sudden                   397       1.4%
154   visual                   397       1.4%
155   blurring                 397       1.4%
156   fall                     396       1.4%
157   unclear                  396       1.4%
158   distal                   395       1.4%
159   radius                   395       1.4%
160   shingles                 391       1.4%
161   psychiatric              389       1.3%
162   decompensation           389       1.3%
163   haematuria               379       1.3%
164   significant              379       1.3%
165   deep                     379       1.3%
166   dog                      379       1.3%
167   tonsillitis              373       1.3%
168   dysphagia                373       1.3%
169   fatigue                  371       1.3%
170   abnormal                 371       1.3%
171   confusion                365       1.3%
